Mes,MP,IA,RC,ISO,CE
2015-01,35,2,35,43,0
2015-02,54,5,67,82,0
2015-03,59,5,70,96,0
2015-04,61,4,31,79,0
2015-05,69,6,92,100,63
2015-06,71,5,59,68,0
2015-07,50,5,34,58,0
2015-08,52,6,61,82,0
2015-09,57,6,88,88,0
2015-10,77,6,69,84,0
2015-11,89,5,65,79,0
2015-12,26,2,39,38,83
2016-01,0,2,0,27,0
2016-02,69,6,43,92,0
2016-03,70,5,73,79,0
2016-04,90,5,83,85,0
2016-05,76,5,100,81,79
2016-06,52,3,47,56,0
2016-07,61,3,35,52,83
2016-08,63,5,56,83,0
2016-09,81,5,53,80,61
2016-10,61,5,78,75,59
2016-11,76,5,0,74,0
2016-12,30,2,0,30,0
2017-01,46,3,0,30,0
2017-02,82,6,32,76,63
2017-03,67,6,61,80,0
2017-04,91,5,60,74,74
2017-05,93,6,89,86,0
2017-06,71,4,35,52,0
2017-07,29,5,0,43,0
2017-08,66,8,60,79,0
2017-09,73,8,71,74,57
2017-10,58,8,56,72,0
2017-11,80,8,78,69,0
2017-12,32,4,0,27,0
2018-01,33,4,0,23,0
2018-02,74,9,56,74,0
2018-03,95,9,79,66,57
2018-04,83,8,67,73,0
2018-05,92,9,69,71,0
2018-06,53,6,56,50,0
2018-07,54,6,36,44,0
2018-08,65,9,47,71,60
2018-09,67,9,64,73,72
2018-10,81,11,63,71,0
2018-11,90,9,49,57,0
2018-12,33,5,0,26,0
2019-01,28,6,0,19,0
2019-02,70,11,48,63,0
2019-03,63,10,71,61,0
2019-04,71,9,69,59,0
2019-05,59,12,78,72,0
2019-06,54,9,0,56,0
2019-07,66,8,38,35,0
2019-08,67,11,66,62,0
2019-09,86,12,78,67,0
2019-10,64,11,49,54,64
2019-11,69,12,53,52,0
2019-12,21,6,31,21,0
2020-01,24,6,30,23,0
2020-02,43,13,50,55,0
2020-03,55,12,60,50,0
2020-04,66,11,67,50,0
2020-05,100,13,76,57,44
2020-06,77,9,52,42,0
2020-07,50,9,39,34,0
2020-08,44,11,61,52,87
2020-09,72,12,63,57,59
2020-10,58,10,67,41,0
2020-11,62,10,60,45,64
2020-12,42,5,25,18,0
2021-01,21,5,0,17,0
2021-02,46,9,32,43,56
2021-03,62,10,50,45,53
2021-04,82,10,57,43,54
2021-05,59,8,47,39,54
2021-06,69,6,48,32,0
2021-07,51,7,28,27,0
2021-08,52,9,57,44,48
2021-09,93,11,33,48,86
2021-10,66,10,70,45,59
2021-11,65,9,40,43,65
2021-12,35,5,31,22,58
2022-01,37,6,0,20,0
2022-02,77,13,36,49,56
2022-03,81,14,56,59,80
2022-04,60,12,83,56,53
2022-05,82,14,57,52,60
2022-06,60,11,49,40,0
2022-07,26,13,43,35,51
2022-08,55,15,39,52,58
2022-09,80,15,52,55,69
2022-10,57,16,62,51,0
2022-11,97,14,60,49,47
2022-12,50,17,43,24,0
2023-01,26,21,20,21,0
2023-02,59,49,42,54,39
2023-03,66,60,62,55,100
2023-04,72,88,47,43,0
2023-05,82,92,53,52,70
2023-06,48,66,39,34,0
2023-07,41,68,30,33,51
2023-08,47,77,45,45,0
2023-09,48,85,51,44,0
2023-10,54,100,50,43,0
2023-11,62,88,30,47,0
2023-12,30,44,0,23,0
2024-01,27,49,0,21,0
2024-02,47,83,71,48,0
2024-03,50,85,51,45,43
2024-04,39,86,44,43,53
2024-05,56,85,62,45,60
2024-06,48,64,57,30,0
2024-07,60,67,39,31,49
2024-08,40,77,65,48,0
2024-09,58,79,88,48,67
2024-10,75,79,73,44,44
2024-11,56,72,90,47,0
2024-12,37,41,51,23,0
2025-01,26,50,39,22,0
2025-02,42,87,39,41,0
2025-03,54,83,75,50,81
2025-04,59,77,67,42,0
2025-05,90,76,88,46,79
2025-06,50,65,57,38,0
2025-07,65,64,41,29,0
2025-08,54,70,64,46,0
2025-09,59,76,77,47,0
2025-10,57,68,95,41,0
2025-11,52,53,83,30,0
2025-12,41,35,45,15,0
2026-01,33,42,0,16,0
2026-02,35,57,49,36,0
2026-03,47,55,42,30,0
2026-04,52,64,72,27,58
2026-05,52,64,54,24,0
2026-06,44,47,50,20,4
